#,"検索キーワード：クリーニング， 国：日本，　2004/1/1 - 2018/3/1, カテゴリ：すべて"
date,Laundry
2004/1/1,42
2004/2/1,42
2004/3/1,45
2004/4/1,46
2004/5/1,40
2004/6/1,48
2004/7/1,43
2004/8/1,41
2004/9/1,40
2004/10/1,49
2004/11/1,43
2004/12/1,42
2005/1/1,35
2005/2/1,40
2005/3/1,45
2005/4/1,48
2005/5/1,51
2005/6/1,42
2005/7/1,41
2005/8/1,44
2005/9/1,43
2005/10/1,42
2005/11/1,44
2005/12/1,43
2006/1/1,35
2006/2/1,41
2006/3/1,47
2006/4/1,55
2006/5/1,56
2006/6/1,50
2006/7/1,47
2006/8/1,44
2006/9/1,45
2006/10/1,46
2006/11/1,48
2006/12/1,47
2007/1/1,43
2007/2/1,47
2007/3/1,45
2007/4/1,55
2007/5/1,56
2007/6/1,53
2007/7/1,49
2007/8/1,50
2007/9/1,47
2007/10/1,51
2007/11/1,50
2007/12/1,50
2008/1/1,45
2008/2/1,47
2008/3/1,56
2008/4/1,56
2008/5/1,58
2008/6/1,52
2008/7/1,53
2008/8/1,47
2008/9/1,49
2008/10/1,53
2008/11/1,51
2008/12/1,51
2009/1/1,45
2009/2/1,48
2009/3/1,52
2009/4/1,61
2009/5/1,55
2009/6/1,55
2009/7/1,52
2009/8/1,50
2009/9/1,47
2009/10/1,48
2009/11/1,47
2009/12/1,51
2010/1/1,43
2010/2/1,44
2010/3/1,52
2010/4/1,54
2010/5/1,59
2010/6/1,52
2010/7/1,50
2010/8/1,45
2010/9/1,47
2010/10/1,51
2010/11/1,50
2010/12/1,47
2011/1/1,49
2011/2/1,50
2011/3/1,50
2011/4/1,71
2011/5/1,70
2011/6/1,66
2011/7/1,60
2011/8/1,55
2011/9/1,60
2011/10/1,65
2011/11/1,59
2011/12/1,62
2012/1/1,51
2012/2/1,51
2012/3/1,54
2012/4/1,72
2012/5/1,63
2012/6/1,60
2012/7/1,58
2012/8/1,52
2012/9/1,54
2012/10/1,61
2012/11/1,57
2012/12/1,55
2013/1/1,50
2013/2/1,51
2013/3/1,62
2013/4/1,69
2013/5/1,66
2013/6/1,65
2013/7/1,58
2013/8/1,53
2013/9/1,59
2013/10/1,63
2013/11/1,62
2013/12/1,61
2014/1/1,54
2014/2/1,51
2014/3/1,70
2014/4/1,80
2014/5/1,72
2014/6/1,68
2014/7/1,59
2014/8/1,56
2014/9/1,58
2014/10/1,61
2014/11/1,66
2014/12/1,64
2015/1/1,57
2015/2/1,56
2015/3/1,74
2015/4/1,83
2015/5/1,80
2015/6/1,69
2015/7/1,67
2015/8/1,63
2015/9/1,61
2015/10/1,68
2015/11/1,69
2015/12/1,72
2016/1/1,67
2016/2/1,66
2016/3/1,81
2016/4/1,96
2016/5/1,90
2016/6/1,80
2016/7/1,77
2016/8/1,69
2016/9/1,76
2016/10/1,83
2016/11/1,80
2016/12/1,75
2017/1/1,69
2017/2/1,68
2017/3/1,81
2017/4/1,100
2017/5/1,95
2017/6/1,87
2017/7/1,86
2017/8/1,74
2017/9/1,76
2017/10/1,84
2017/11/1,85
2017/12/1,83
2018/1/1,72
2018/2/1,68
2018/3/1,81
